"Revista:","Editora:","Data de início:","Data Final:","Quantidade de edições:","Notas:"
"Antenna","Antenna Edições Técnicas","1926","2007","777","Em Janeiro de 1983 foi unificada com a 'Eletrônica Popular'"
"Eletrônica Popular","Antenna Edições Técnicas","Maio/1956","Dezembro/1982","460","Versão brasileira da 'Popular Electronics' até 1967 quando acabou o contrato com a Ziff-Davis. Foram 53 volumes no total."
"Be-a-bá da Eletrônica","Bártollo Fitippaldi","Dezembro/1982 (?)","Julho/1985 (?)","32","Inicialmente publicada em formatinho (14 x 21cm) passou a formato magazine (21 x 27cm) na 25a edição. Bêda Marques deixou a revista na edição 30."
"Divirta-se com a Eletrônica","Bártollo Fitippaldi","Abril/1981 (?)","Julho/1985 (?)","52","Inicialmente publicada em formatinho (14 x 21cm) passou a formato magazine (21 x 27cm) na 41a edição."
"Informática Eletrônica Digital","Bártollo Fitippaldi","Agosto/1983 (?)","Julho/1985 (?)","24",""
"Aprendendo e Praticando Eletrônica","Petit","198X","199X","85","Todos os projetos estavam disponíveis em kit. Revista do professor Bêda Marques"
"ABC da Eletrônica","Kaprom","1991","199X","19","Revista do professor Bêda Marques"
"Revista Monitor de Rádio e Televisão","Instituto Monitor","Outubro/1947","1982","429",""
"Eléctron","Fitippaldi","199X","199X","67",""
"Electron","Etegil","1965","1967","?",""
"Rádio-TV técnico","Signo","196X","197X","58",""
"Radiotécnica","Américo Letto (editor)","Janeiro/1946","196X","174",""
"Nova Eletrônica","Editele","Fevereiro/1977","Maio/1977","114",""
"Elektor","?","1986","199X","81","Primeira série lançada no Brasil"
"Elektor","Ferreira e Bento do Brasil / Bolina","2001","Novembro/2012","128","Segunda série. A editora faliu e deixou os assinantes sem reembolso"
"Eletrônica","Etegil","1965","197X","44",""
"Saber Eletrônica","Saber","Março/1976","Jan/Fev 2014","431","Última edição foi a 475 mas não foi informado se a revista acabou"
"Experiências e Brincadeiras com Eletrônica Junior","Saber","198X","198X","25","Em formatinho. Se transformou na 'Eletrônica Total'"
"Eletrônica Total","Saber","1988","20XX","146",""
"Componentes Eletrônicos","Teleart Telefones Artísticos Ltda","1981","","?",""
"Eletrônica Avançada","Escala","199X","199X","1",""
"Revista do Instituto Universal Brasileiro","IUB Editorial Ltda","Junho/1984","198X","?",""
"Circuito Fechado","Signo","Fevereiro/197X","?","14",""
"Circuitos de Áudio","Gráfica Lemar Ltda.","Março/197X","?","3",""
"Circuitos Integrados","Signo","Outubro/197X","?","11",""
"Eletrônica Coletâneas","Gráfica Lemar Ltda.","Julho/197X","?","31",""
"Eletrônica para todos","Signo","Dezembro/197X","?","33",""
"Mundo Eletrônico","Signo","?","?","6",""
"Radioamadorismo em Fascículos","Ademir Freitas Machado – PT9HP","Janeiro/2014","Julho/2015","11","Revista eletrônica. Site oficial: http://www.revistaradioamadorismo.blogspot.com.br/"
"PiclistBR","Lista de discussão PiclistBR","Maio/2009","Dezembro/2009","2","Revista eletrônica. Site oficial: http://piclistbr.guidetrack.com/revista.php"